KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]

u	的
ejzj	枪
wddk	宫
pror	临
koam	温
dsvt	嘴
izoj	航
utrq	托
nwis	索
ogyx	景
gpch	烈
xhtp	秘
sdem	架
pram	监
btdk	君
eelx	梦
xhdp	税
cn	炮
cnvs	炮
sqor	诸
jvob	货
ehks	松
sehb	评
rmhx	恩
uwhe	探
vhdp	脱
xllx	移
sdfm	误
tpru	释
iwlf	旁
ppww	跳
lnqc	藏
aior	春
qllg	睡
ivle	端
couc	遗
empd	刺
tjkc	附
hbzj	爷
wnfd	减
imic	编
odor	智
wjxh	徐
kcvy	湖
zdgs	钟
lwfj	蒙
fvvy	丽
xbks	康
udob	损
jlor	借
sgkc	诗
znqh	镇
dfmd	吴
gpdf	域
gnwb	均
aixh	秦
kmfd	洞
mham	猛
iryx	练
brhx	怒
eefs	禁
ccpd	剧
kzcb	湾
nawm	卖
pihx	忍
leti	旅
olhk	暴
wswy	额
jadk	含
unvs	抱
mjjr	肉
yjvp	输
iyfr	缓
zy	销
zyvy	销
bbor	婚
exry	板
jogs	伸
miuc	遍
nmpe	玩
ghkc	熟
szem	谋
xtgu	庭
nnkc	博
entp	材
jtup	俄
nong	韩
kovv	混
safd	词
hykc	尊
lwem	荣
fohi	夏
sqvy	谓
uywr	授
hhor	替
uygk	摆
krus	泽
nmzk	骑
xydk	店
npyc	载
slnd	诺
jbuy	健
xvuc	透
vxeg	岸
anuc	迅
xxbh	稳
rmpe	园
gofi	坦
urus	择
ucyi	握
ubid	抵
hmte	郑
ibks	绿
rmic	篇
zzeq	歌
eeem	森
gfpg	残
fbbn	妻
gljd	塔
qwki	馆
eekm	梅
xfpd	厉
khho	潜
pggt	街
mfob	硬
wfns	宇
ddmq	哭
ijjr	纵
ygks	罢
naam	盛
lbph	萧
yoem	桌
rdob	圆
ihpd	纷
msmk	础
ufaf	拜
flpd	刑
jmic	偏
mnlc	奔
jbwr	侵
tsuy	延
hlld	懂
lalk	蒋
ukdk	抬
qpqo	赞
jopd	侧
wqho	赛
ifsc	纯
pnnk	距
jxuc	途
fyor	曹
onks	购
vnbm	胸
kiig	浪
jjvp	偷
idpe	竞
ljem	茶
purs	毁
cpfp	烧
gghd	墙
kodk	沿
colk	爆
udde	操
snae	诚
upww	挑
yrry	轰
ovam	盟
ktsl	勇
lghp	敬
zcuc	迹
utdk	哲
antp	闭
ubvh	撤
yees	彩
gkos	埃
xavb	乘
rjkc	符
ruoi	筑
gidk	培
kkem	染
xyvy	稍
bytp	妙
npqh	戴
kqpe	洗
txpj	陷
is	络
enqf	植
xohi	厚
ulor	措
uyfr	援
xtcc	触
piig	粮
klhb	洪
ujzj	抢
ntaw	珠
rusl	劲
jtgo	凭
ytor	暂
mhcy	碰
vvub	皆
dghx	忠
aius	奉
qrtk	聚
vofi	胆
jvwy	倾
dfyb	吓
ninw	驻
svis	紫
btmd	妖
wghh	凌
door	唱
kphe	梁
rhvp	箭
gtaw	殊
sqem	课
lahb	莱
oqlc	鼻
zxpe	镜
lyem	菜
hnch	恢
wazj	御
npti	裁
jibi	仪
quch	瞧
ciuc	迟
rhhz	圈
srus	译
ddnm	骂
njes	珍
hkme	惨
vfob	飘
lfoc	荒
hkob	惯
ibjs	缘
oyry	曼
lezh	旗
autn	牌
xsri	废
vvbn	腰
viuc	腿
qewy	颗
yspd	罚
unnk	拒
jbzj	仰
ulqt	描
almd	奖
hpob	贫
krbn	婆
kwpe	沈
iwju	缩
mzjn	碎
utgu	挺
aiks	泰
opfp	晓
txns	障
etmp	桥
iite	郎
sans	讯
gcgc	赫
gpti	裂
wvot	凝
ktri	泛
nvle	瑞
jhus	伴
gdti	袁
jqvr	偶
vhaf	峰
wrug	径
knov	潮
afsi	症
ulpj	插
jpti	袋
umoa	掩
kyhi	浮
jidk	倍
unri	拔
ueey	拖
hyvy	悄
miig	狼
utpq	播
ghti	丧
nsnx	辩
dabi	咬
mavy	猜
ipgr	艘
kthk	滚
oydk	贴
hqfd	兽
tpqt	番
dgrl	哼
uidl	撞
item	柔
thfl	隆
xbag	魏
pcvy	糊
vwfs	崇
xxob	赖
lknk	薄
wxbv	净
phpd	粉
jsby	偿
hnlo	愤
dlqt	喵
koyr	漫
hbll	爹
lldl	董
ulvh	撒
jofr	佩
tgks	丢
ipfp	绕
xruc	返
tmpd	乔
xnqm	盾
jgkc	侍
hhus	拳
jnos	侯
kanw	润
vnvs	胞
uqrr	摄
yqor	署
lkae	荡
htuc	递
nmic	骗
upgr	搜
rfdq	幅
aifm	奏
viiy	幽
hbch	兼
bphb	肃
ydqe	辑
tfvs	岳
xpjk	黎
kmae	污
llgs	垂
cryx	炼
ljzj	苍
reqm	箱
sdnm	驾
nnbi	驱
npui	截
uhlc	拼
kkty	涌
vhhn	腾
tphx	悉
sjes	诊
xbrp	皱
aabh	慧
kvfs	漂
cwvb	蛇
lhhx	恭
jyob	侦
zmbi	钢
opns	贼
mofk	碍
ahdp	阅
zheq	欺
mwqn	牵
iwfs	综
pwfs	踪
pxbj	趋
iqor	绪
zyob	锁
tnaf	陶
liwr	蒂
hlfo	慌
fcor	晋
nqkh	惠
jsqo	储
kaes	汤
wqpe	宪
qhdh	聪
lzhx	怨
pthf	跌
neid	匆
viks	脉
gksl	劫
wthb	宾
weam	盗
jggt	佳
dtup	哦
jfbi	仗
jisi	伪
ndbi	驶
veoh	腹
hlor	惜
vshb	胁
ttvy	霸
bzem	媒
sswy	频
zcbg	弯
zrdw	颤
zbuy	键
ldas	勤
kgdk	洁
hjks	怜
vlor	腊
sdob	贺
thsl	雾
ljks	龄
emzk	椅
kvvc	熊
snor	询
dnlo	喷
fdpe	祝
wmzk	寄
ahwb	疼
jxjd	斜
uvjr	拟
zydk	钻
kwyc	浑
hqhb	惧
huxr	叛
ltkn	薛
csmk	屈
jxry	叙
hwdk	悟
zmfd	铜
ralo	籍
knks	沟
ugyx	掠
uonf	揭
mlor	猎
sxvn	诱
baut	娜
mlqt	猫
mupe	貌
nnja	琴
wyfr	寂
yauc	遥
hlrw	瓶
ovvb	昆
mwyc	辉
fmdk	吞
ooor	晶
iaob	绩
rakc	筹
einw	柱
uirs	搬
lyuc	莲
tggt	鞋
jkhh	俊
hzbm	恼
qhzd	瞪
jqhb	俱
uljd	搭
jhro	僧
qxbv	睁
pfpg	践
mqor	猪
fpuc	迈
kfpg	浅
uxbv	挣
yluc	逻
wjfu	宿
jkte	邻
vhus	胖
jjfi	丛
pxxz	跪
jtrh	傻
vxgt	脏
tguy	廷
qerj	饰
przj	鉴
jpob	贷
lonf	葛
pmma	跨
jdgs	仲
uhts	拦
ckuc	遣
fdvi	赢
usri	拨
jnkc	傅
zurj	锦
pjes	趁
jaob	贪
yvpd	削
tdfi	衰
yons	卓
kocy	湿
qywv	瞬
epww	桃
hjuc	遂
khsy	誉
oyfr	暖
akas	阔
bhbc	嫌
mwlz	碗
kjxh	涂
ueai	挖
ubzj	抑
chts	烂
apmd	契
bggt	娃
wxnq	循
hsdk	嘉
dhae	吼
gb	坛
eplc	械
kimc	滴
py	赴
hyuc	逊
japh	傲
dfsc	吨
kqdk	浩
webn	姿
vweh	覆
qvhx	愚
oqor	赌
czem	煤
ghhp	敦
hsuc	逆
wtrq	宅
nvte	郁
gyam	盐
njks	玲
mzui	耀
hnqh	慎
xthf	秩
kbpc	涨
qtup	饿
tghh	陵
gagt	羞
hfof	恒
iagt	纽
zhdp	锐
ihau	缝
mmae	夸
dv	喘
dvle	喘
nums	碧
qy	卧
wnks	宏
slda	谨
tboc	疏
khii	滋
ddgs	串
klom	漠
chlc	屏
hekm	悔
kbqt	溜
ukos	挨
zccc	蛮
kuxn	鸿
pfyo	糟
kfmh	添
svem	柴
cqor	屠
wpsl	勉
oone	赐
crpd	刷
ve	肝
ufbs	捷
dq	喂
dqft	喂
ijzj	舱
djas	啥
dkos	唉
mhii	磁
lkfw	茫
bwjs	嫁
lrxh	菌
jvui	催
dhpd	吩
cweh	履
yhae	乳
hiiy	兹
jtle	儒
my	狐
ixdl	缠
oxbn	矮
ijby	绘
tvvg	陛
vvxn	鹏
vd	肿
vdgs	肿
ktmd	沃
ujjr	巫
yyon	罩
efmj	柄
iulh	缴
ktpq	潘
oavy	晴
npnx	辨
kcob	溃
oobn	婴
hnrj	怖
uuvn	携
klae	泄
zzjn	翠
tcmr	霞
yqdk	酷
addv	癌
obzj	昂
eurj	棉
bkpd	剥
utns	卑
tnvs	袍
ez	柯
tjfb	鞭
vnwh	脖
jyhi	俘
ck	尿
lxpd	莉
drmd	咽
dnes	吻
bgff	疆
qnvs	饱
ufem	抹
hylf	愣
waim	凑
lhpd	芬
vhmd	朕
qfti	畏
nqrk	骤
fhqn	禅
cm	炉
konf	渴
zjks	铃
gnqh	填
ytsl	劣
ionf	竭
hjvp	愉
uzin	摔
prej	览
mpwy	顽
vxxz	脆
dytp	吵
knvs	泡
ijrs	毅
uhpd	扮
veug	腔
va	肠
vaes	肠
kldu	灌
gwoj	壳
cvvb	屁
qpfp	饶
mhhb	狭
uimc	摘
ezhb	棋
shks	讼
hkzv	翁
utid	拆
jdam	盒
wnvs	鲍
imbi	纲
axmb	艳
lziq	蓄
bpww	姚
kctv	漏
xytp	秒
ennk	柜
unaf	掏
dlbi	哎
ljwb	於
txyc	裤
mjno	猴
djno	喉
hhdp	悦
aodk	痴
ziqt	畜
utsy	誓
cz	翅
viwl	膀
xzkc	厨
usus	撑
wobn	宴
zdmj	锅
kakc	涛
vram	盈
vkdk	胎
vvvy	崩
udsl	拐
hpam	盆
mnrj	砸
bepd	刹
owyc	晕
ohbc	赚
ndwt	囊
wfbb	凄
lgvl	葬
uwpe	挽
jjqe	耸
vutn	脾
stsu	诞
hxxo	懒
nvnw	斑
wihi	後
bpgr	嫂
nqhw	颠
eqem	棵
jnug	佐
cfkc	尉
qtri	眨
twvb	陀
thhb	陕
qafd	饲
vfrj	肺
ruwy	颈
dnmg	喃
uzht	撕
nbbi	驳
yooc	酬
jfqf	僵
ohro	赠
mpfr	狮
utuc	逝
lvhk	藤
keqm	湘
eovv	棍
gqor	堵
cfsi	歪
erpd	窃
wryx	冻
tfub	陌
ntmp	骄
brmd	姻
ogae	畅
dbph	啸
uytp	抄
mols	猩
ulhb	拱
uvui	摧
lidk	菩
lhau	蓬
zldk	铭
kutj	浙
vhpd	氛
nlet	璇
ngyx	琼
zone	锡
uaiu	捧
dctv	嘱
iurj	绵
rmfd	筒
lkeh	萍
uaut	挪
cdnx	辟
znks	钩
hauc	逢
qaap	鼎
xiit	廊
dfns	吁
ehts	栏
wheg	罕
zyuc	链
kyim	溪
gzoj	坑
znbi	躯
fdbi	吏
kydk	沾
rvsl	筋
tjgt	坠
kppm	渊
lnnf	葡
wwpd	寡
uogt	捏
refi	笨
qlml	瞒
hvpp	剪
kejk	漆
axpj	阎
uzrf	擅
sxxz	诡
lkyt	莎
litp	茅
shbc	谦
keem	淋
vabi	胶
xbty	庸
pwdk	衙
bcqm	媚
bkuc	逮
wlzj	宛
nric	骚
lflp	荆
ezoj	杭
lavb	乖
bmbg	姨
dfcy	哑
dtdf	嚷
hunw	惶
ddoj	咒
zvfs	镖
eddg	窜
efbi	杖
bdhx	恕
unkc	搏
ixvn	绣
fhdk	禧
fyae	丐
mutn	碑
tupx	鹅
ahqn	阐
ytmp	轿
jhns	伞
lfhp	蔽
djkc	咐
pwwb	兆
mnid	豹
bziy	弦
liet	薪
woal	冥
udvy	捐
tdgs	衷
dggt	哇
pydk	粘
uteq	掀
vvor	脂
dnov	嘲
onnk	矩
rrrf	叠
swfq	谊
wwjv	脊
dyvy	哨
qrbn	娶
qdfa	聘
hidu	慨
jmoa	俺
drre	嗓
pqsl	舅
wqvr	寓
ny	戚
nyfy	戚
abqt	瘤
ucsm	掘
joor	倡
knne	渠
znid	钓
ksri	泼
werw	瓷
oqem	巢
iytp	纱
iate	绑
shco	谱
phyk	蹲
nbmk	匈
pdte	邵
yncc	蜀
rpra	篮
pril	竖
hpwy	颁
fsfc	焉
gwcy	壶
kbwr	浸
lnaf	萄
jmhy	僚
ebbu	攀
bohx	媳
dhdk	嘻
lakc	蒸
tbtd	裙
kpra	滥
hdda	愕
teqm	霜
spdk	诏
pdde	躁
hnfh	憾
lhvs	巷
dosl	勋
oetj	晰
pyhb	舆
nfdk	咸
tfte	邱
exgt	桩
swtr	诧
cpbn	屡
djvp	喻
pyem	踩
abte	郊
etaw	株
fbks	禄
xfoh	厦
zjjn	卒
qrry	聂
xjui	雁
neem	琳
qwpe	耽
dsdk	咖
cunw	煌
dlhb	哄
fhlc	弊
jhhz	倦
vuks	腺
wuxn	鹤
opra	尴
uoid	巩
eech	焚
qhlc	饼
qlqt	瞄
lnpm	菊
vwlz	腕
hgks	怯
zakc	铸
snjr	诀
idvy	绢
bwlz	婉
ubnp	兜
kogt	涅
ulws	捞
jmzk	倚
dwsg	喀
ofpg	贱
avqh	冀
kkam	溢
vnch	炭
xovo	稽
kkme	渗
aldu	罐
cqis	螺
mabi	狡
ekty	桶
gozv	塌
roid	帆
jtmp	侨
ewki	棺
lngh	荐
svui	雌
evvy	棚
iavy	靖
znwb	钧
oxry	贩
hdpe	兑
eiwl	榜
spuc	谜
vvgv	毙
ztks	麽
uhmt	掷
prvy	肾
szje	谬
zufr	锻
vhes	膨
tyoy	隙
bxhp	嫩
gxbd	塘
xnwb	韵
wedk	咨
dxpd	喇
nwvb	驼
hkwy	颂
jiwl	傍
dini	哟
tekm	霉
lehb	苹
upbn	搂
gots	堤
hkdk	怡
knaf	淘
slae	谍
lktq	藩
otri	贬
hbtj	斧
pgch	糕
jvpd	俞
vxwy	颖
mehb	砰
xypj	稻
qvch	熙
fpam	盏
tddf	襄
cqfa	烤
qoch	煮
lioa	蕴
svvu	谐
urem	捆
ewpe	枕
uhhb	挟
dgpd	咧
ujkf	捡
gtdf	壤
jpph	黛
kpdk	沼
yfdq	辐
bdfm	娱
kyfr	淑
kmoa	淹
enam	窦
dmjr	呐
sduc	迦
iogs	绅
jzbv	禽
javy	倩
ixes	彦
jsdk	伽
piwr	蹄
enbi	枢
duub	啪
ukwe	搅
gweq	羡
jafd	伺
cibi	蚁
iabi	绞
qxch	瞅
jyvy	俏
bdvy	娟
vnkc	膊
scku	谴
fmjr	丙
ehej	窥
fakc	祷
ounw	凰
imgd	绸
lwni	莹
uxvs	捣
clor	蜡
jekm	侮
qk	眸
qkqn	眸
mnuc	逛
cytp	炒
syaf	谣
kfem	沫
cyvy	屑
dwff	喧
lmlc	莽
tlhb	龚
ufhp	撇
eboc	梳
yghi	醇
eauc	迄
otvb	匙
baos	嫉
qqor	睹
ziwl	镑
skty	诵
domq	嗅
hhwy	颊
inkc	缚
eoob	樱
xplv	麟
yvuc	逍
kvon	潭
gcte	郝
ctaw	蛛
hzoj	凳
uite	揉
butn	婢
diad	嗣
zdfm	虞
rhau	篷
emfd	桐
ipbn	缕
onvy	贿
efae	朽
mggt	硅
zytp	钞
nyaf	瑶
tnuv	隋
hhro	憎
lyni	蔑
gcro	馨
eryx	栋
ciof	昼
vols	腥
lylx	萝
brbg	弩
mbks	碌
wabr	寝
jxbn	倭
cdde	燥
zodk	铅
mytp	砂
hfae	兮
npdk	哉
dhkz	嗡
rydk	帖
staw	诛
wplv	鳞
kxgg	涯
khzd	澄
zllg	锤
kypj	滔
wlom	寞
pvvv	蹦
nlhp	敷
ttgu	霆
tonf	褐
qakc	畴
fmcc	蚕
dyyk	嚼
hymd	奠
ebqt	榴
usmk	拙
ltvy	荫
jdxn	鸽
khtp	泌
upfp	挠
vtup	峨
lwhg	蓉
kdde	澡
loyr	蔓
kwff	泻
kofp	溅
akfi	丞
ipns	绒
cohx	熄
vlwj	朦
njid	琢
kiks	泳
cgmk	凿
hytj	惭
qhus	畔
kjzj	沧
yiig	酿
ajpg	阀
jddk	侣
uakf	拯
lwxn	莺
vfaf	屿
pgry	叟
ziui	雍
pypj	蹈
upre	揽
vrug	氢
tfma	陋
uwdk	捂
wkdk	冶
hxtq	懈
gehb	坪
ltbo	蔬
iiwr	缔
zagt	钮
btup	娥
owdk	晤
cnid	灼
iwvb	舵
kaxh	澜
lrug	茎
nboc	琉
xvvb	庇
pnri	跋
eyvy	梢
zupg	戳
chqn	蝉
vcch	毯
lxbn	萎
iyon	绰
jndk	佑
uklc	拚
ecsm	窟
mboc	硫
fhhx	憋
onam	赎
vmzk	崎
cbyx	烁
ddwd	嚣
cxmm	焕
uvle	揣
kdhx	怠
dnbi	呕
eylf	楞
klbh	潇
rl	簇
rleo	簇
kpfp	浇
emwb	枣
iybn	绥
jcdn	僻
eozv	榻
mlae	碟
dogs	呻
diwr	啼
cfyb	虾
ewfs	棕
lovy	萌
bfsc	嫣
tyvy	鞘
vzeq	嵌
ocmr	暇
cabi	蛟
lrmd	茵
czoj	炕
mvnc	碳
dhwb	咚
llzj	苑
xhse	厥
hxbk	慷
hone	惕
xowy	颓
hoeg	悍
nlnd	匿
tdvr	禹
rknk	簿
gogs	坤
nyob	琐
splc	诫
eeoi	梵
ccvy	蝴
ojpd	尬
kpis	涩
uxch	揪
ebtd	窘
emem	棘
ncam	盔
dcyi	喔
bwog	婶
pxlr	踱
dqor	嗜
dutn	啤
zcmd	奕
kghi	淳
ztdf	镶
otmd	晌
plhb	粪
zixc	铲
njvp	瑜
wjid	冢
xmoa	庵
uxzj	扼
jhwb	佟
ivvy	绷
eghh	棱
hqrr	慑
rhnj	筷
xlch	庶
kqyt	渺
fnuc	迂
uryx	拣
lcvy	葫
kvpd	浏
uxry	扳
dzcy	嘘
owfi	贮
eufa	窍
anqw	癫
lneh	葱
cmdk	炯
xw	稼
xwjs	稼
tnpm	鞠
hsvy	朔
tibn	霎
xopd	厕
qz	眩
qziy	眩
hpvs	岔
ipre	缆
sxhb	谏
dxzj	呃
dwdk	唔
uwad	拧
dsfc	嗤
miwl	磅
wqor	鳍
rdhb	帜
oekm	晦
ugug	搓
bpbg	粥
eobi	枫
tmhd	裔
xnes	彰
qxxs	瞻
dzoj	吭
dxeq	嗽
uqdk	皓
dgjs	嚎
uoat	拽
vt	胧
vyvy	峭
nynx	瓣
hphx	忿
dimc	嘀
alem	桨
efob	梗
phzd	蹬
jjkf	俭
xght	廓
mnfd	碱
thuc	迭
dnuc	逞
bite	邸
mplv	磷
iwts	绽
dllx	哆
sujj	诬
tjvb	靴
yimd	奚
wyvy	宵
cggt	蛙
kfrj	沛
myvy	硝
vcsm	崛
efyo	槽
dpbn	喽
much	礁
dqhi	哮
codk	蜘
ejnw	栓
cwhg	熔
htmm	懊
zxbv	铮
jpfp	侥
cdhb	炽
tmuc	鞑
vcfi	胚
hluc	迸
aphp	敖
yp	轼
ypug	轼
flte	邢
ynid	酌
hyon	悼
nlmm	瑛
uxpj	掐
irrr	缀
zylx	锣
qtmd	饷
ggjs	壕
druj	噬
bdis	絮
vytj	崭
qcob	馈
lnor	荀
vjae	岑
tqor	褚
gzcy	墟
gkdk	殆
rtpq	幡
dnqh	嗔
cmzv	煽
ylor	醋
twbn	鞍
tfem	袜
wzje	寥
yfsi	罡
iufr	缎
lwvh	薇
aggt	闺
havw	悯
dnvs	咆
ekbo	毓
ycwy	颅
zfya	钙
izje	缪
alyy	酱
acch	痰
cziy	炫
tcdn	霹
htle	懦
mizv	翩
btvy	婿
kmid	汰
ukty	捅
xtpc	蟹
rb	箫
rbph	箫
ujnw	拴
ihus	绊
kjdk	洽
kolk	瀑
irus	绎
nrus	驿
uzsl	掳
ckqn	犀
iziy	舷
vgrw	甄
exzk	橱
qghg	睦
bsrj	嫦
baem	娴
mwad	狞
pakc	踌
keof	渣
aoam	瘟
qqui	瞿
tdob	陨
fafd	祠
udqe	揖
vghd	膳
zfsc	钝
idqe	缉
wrdk	徊
vbks	氯
ajzj	疮
lcfk	蔚
ahse	阙
vgkc	峙
vwbn	氨
nqis	骡
acc	闽
xvlx	秽
ncvy	瑚
bhdk	嬉
vzoj	肮
mwkc	狩
hydk	咎
efpg	栈
dkek	嗨
gnor	殉
romg	幌
lkdk	苔
rz	篱
rzbv	篱
htpd	剃
bgad	婷
ofmd	昊
mrpd	砌
ighh	绫
hnwh	悖
cfmj	炳
djzj	呛
qvfs	瞟
vcqm	嵋
xpqn	犁
yekm	酶
ejvp	榆
teem	霖
gpid	韧
uqfa	拷
jllx	侈
mhbv	肇
ywlv	舜
cpcp	兢
yaix	臻
utqt	擂
htam	恤
tkam	隘
imzk	绮
zrid	钗
lsdk	茄
ghqm	睿
dwor	噜
poem	跺
zjep	戮
gdwy	颉
jcsm	倔
slom	谟
uwmp	皖
nddd	噩
pqdu	糙
atxh	瘾
dsmk	咄
qmzk	畸
xnho	赣
euch	樵
jdoc	侃
bimc	嫡
qnnw	眶
khem	涤
ujah	捻
uoeg	捍
clae	屉
qpww	眺
ybvh	辙
pivy	胤
tiuc	褪
jkzv	翎
eebn	婪
tahu	衅
moor	猖
ullg	捶
ewdk	梧
kggt	洼
eyfr	椒
qidl	瞳
dpgr	嗖
kwts	淀
clhb	烘
ce	炊
pevm	髦
xmgd	稠
ytnm	羁
nxns	璋
jdwy	颌
zddk	铝
sonf	谒
jfcx	俨
jwti	侬
axid	疚
huch	憔
owbn	晏
uric	搔
mgug	磋
rqmk	篡
qvvb	毗
qctv	瞩
nbrs	殴
dlws	唠
deof	喳
thju	隧
mxbv	狰
egdk	桔
byhi	孵
cfdq	蝠
knqh	滇
ajes	疹
pisl	黝
kzyb	汴
ifqf	缰
gxfd	垢
niig	琅
rpfr	筛
siwl	谤
oyqo	曙
ltqt	蕾
kxeq	漱
nnvv	琵
dfob	哽
dcfi	呸
qfbs	睫
ctle	蠕
rnnw	筐
hols	惺
kzhx	滤
hwlz	惋
qyem	睬
dgch	哧
etnv	椭
zefi	钵
lbdk	茹
tjde	褒
ctup	蛾
daob	啧
tmjr	衲
vydk	毡
eqdk	窖
oatp	曳
lwch	荧
pjzj	跄
lbcg	菇
svor	诣
zxvn	锈
yclt	辗
hnuv	惰
ezrj	柿
vnqw	巅
djid	啄
nwhe	琛
moae	奄
kqvy	渭
qoyr	馒
zcxn	鸾
hdgs	忡
bvfs	嫖
conf	蝎
exxz	桅
okdk	贻
tmmd	鞅
hneh	惚
uydk	拈
zp	钊
uqpo	攒
kfsc	沌
ajnw	痊
pemg	髯
grch	烹
diks	咏
vxjk	腑
sgdk	诘
uoqr	撮
mmms	磊
zcej	觑
hwpe	忱
tuki	亵
aeai	疙
xbui	雏
bfub	弼
imhy	缭
ttmd	袄
mduc	迥
jkos	俟
plqo	躇
nbxn	鸥
arug	痉
uehb	抨
tkns	阜
oolk	曝
tqvr	隅
ytgt	堑
epra	槛
lyqo	薯
hxyd	惦
hehb	怦
hvvj	恺
lffs	蒜
gmzt	坍
zvvj	铠
dyfy	咔
dljd	嗒
bpil	彝
kljw	淤
unjr	抉
uyvy	捎
tjmq	袱
hmhf	惘
pedg	蹿
lvem	桀
qjks	聆
tfkc	褥
axhb	阑
phro	蹭
jutn	俾
itja	矜
kzbv	漓
lsof	蔼
ltpq	蕃
pewh	鬓
yqae	辄
hopd	恻
amoa	阉
vqhx	崽
nvpd	刨
vfyg	瓢
smfs	祟
royr	幔
rbtp	笋
rxbv	筝
cnnk	炬
zrus	铎
tofi	袒
gtkn	埠
jlnd	偌
cdfm	蜈
ehzd	橙
cmic	煸
nqpo	瓒
sekm	诲
gmmd	殃
aqlc	痹
chhz	蜷
lzxn	鸳
dlof	噶
lzms	蘑
loxn	鹊
mclt	碾
lmjr	芮
hggy	悻
ogxp	曦
eaqh	橄
jvvu	偕
vzjv	腋
oywr	暧
kyuc	涟
uisl	拗
llph	薰
uhus	拌
hxhi	悸
notb	瑙
mbyx	砾
hfmd	癸
irms	磐
wmgd	凋
rdrf	亟
jqft	偎
eitd	橘
hlyq	懵
inor	绚
dwhf	嚓
bnvy	肴
mmgd	碉
pyim	蹊
yfhx	忐
zmjr	钠
rfpg	笺
boor	娼
kcqm	湄
lzjn	萃
esdk	枷
gypj	韬
fz	祺
fzhb	祺
hzjn	悴
chdp	蜕
pvle	踹
dafi	叼
eexl	麓
bwth	嫔
yoqt	辎
jxpd	俐
ltdv	龋
aojl	瘪
zjuc	遽
qabi	饺
jjhx	怂
veai	屹
kxsl	沥
ygdt	辕
inqh	缜
tygg	睾
smjr	讷
ricc	蚤
zw	锭
zwts	锭
eewa	榨
nlda	瑾
uykc	捋
navh	骥
hkrw	瓮
khpd	汾
hvle	惴
btgs	妊
hhqn	惮
qjxh	馀
ryob	帧
uqsg	撂
yqhi	酵
dmuc	哒
ihvk	绛
pabi	跤
txsl	雳
zxhc	镰
sixe	谚
yrbi	卤
rtsu	筵
eyob	桢
kjvp	渝
kgik	漾
ztaw	铢
zalk	锵
mdmb	扈
aljd	瘩
txry	阪
lwis	萦
trhi	囱
lmup	藐
jtaw	侏
dkpe	吮
lwmp	莞
ncob	匮
kxmm	涣
pccg	踞
xehb	秤
kkhh	浚
hnhh	惬
kjci	濮
ciit	螂
chaf	烽
sjvb	讹
vxhx	臆
ctsu	蜒
cwlz	蜿
pite	蹂
vkwy	颍
bwrj	帚
cxxs	蟾
cmnu	遐
czbv	螭
koqt	淄
qxpj	馅
lnvs	苞
sjnw	诠
szbj	谑
dizj	唧
sfcc	蚩
skam	谥
uzjv	掖
pjae	黔
ikhh	竣
pozv	蹋
npfp	骁
hhjs	豢
xyni	玺
qesl	饬
dcrp	唰
xzhb	麒
ppfp	跷
daph	嗷
uxhe	撅
kaob	渍
dgwz	噎
rjgh	筱
cciw	烬
ncmr	瑕
rxeq	簌
zcvs	峦
tzub	褶
zqfa	铐
dgam	盅
vrmd	胭
pldl	踵
lefi	苯
iobi	飒
zync	镯
laqv	藕
rjpg	筏
xmmd	奂
ljpd	芥
kmts	叁
hogy	憬
byfr	媛
dywr	嗳
mzes	彤
akpe	兖
dgug	嗟
ukuc	挝
axxo	癞
gcfi	坯
jwfi	伫
gyox	鹫
ljnw	荃
umma	挎
zprg	铿
shta	谧
fofi	亘
mqft	猥
jbpd	刽
btrv	媲
kvle	湍
npsg	璐
dqrr	嗫
xq	稷
xqhh	稷
infd	缄
goem	垛
airs	瘢
ksen	浒
ruu	迳
ghgu	逵
fhwv	鳖
wehx	恣
sqdk	诰
lels	旌
eate	梆
umfs	捺
kvgt	湮
dlnd	喏
kfdi	瀛
pkty	踊
agkc	痔
pmob	贰
ljxh	荼
jrui	傩
lwpd	蓟
rddo	簪
fr	骰
obqh	飓
jthf	佚
gjks	羚
kfyo	漕
vbuy	腱
opww	晁
umns	皋
unbi	抠
fpbn	髅
eapm	楔
sxpj	谄
oxxs	赡
dbvy	唷
waaw	寐
eqte	椰
cavy	蜻
dhes	嘭
rpbn	篓
plml	蹒
nydk	玷
dcdn	噼
zxlr	镀
zzzj	鑫
nyuc	琏
bcvm	娓
qnam	犊
rbjs	篆
pqem	踝
hdch	熹
ioob	缨
ncgi	璞
gxry	坂
yaxn	鹞
oepd	剁
soyr	谩
qwoa	瞑
jabi	佼
qlom	馍
dumn	嗥
coil	煜
lfem	茉
xgdk	秸
tnjr	袂
nlob	贲
kufa	湃
pduc	迢
dkqn	哞
kehk	淞
kpsg	潞
ogch	煦
bati	婊
uinw	拄
krcg	涸
fnam	盂
atcc	虱
dbjs	喙
uwor	撸
wnor	徇
acdk	痞
dnrj	咂
mntp	豺
plau	躏
ethl	窿
snch	诙
dqvy	喟
lhyx	荪
kchh	潺
kxxs	澹
xtjd	斛
zaor	锏
hmfd	恫
nvfs	骠
dbnr	唏
iywr	绶
ewor	橹
spjr	谀
